App Name,Truth Status,Platform,Platform ID,Owner,Repository,URL,Purpose,Environment,Integration Dependencies,Production Evidence,Duplicate Of,Notes
AquaHut (Copy),duplicate,base44,68aa045bc9793caf6c241f5f,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,AquaHut,
AquaHut (Copy),duplicate,base44,68aa08abbf77d9233404f89a,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,AquaHut,
HydroTracker,experiment,base44,68a9d7142597cfe16d0d45f8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,
HydroTracker (Copy),duplicate,base44,68e1b97a4a98c2175cae7130,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,HydroTracker,
OceanStay,experiment,base44,68a9d798b0aef1e50b7d4684,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,
BuildQuest,experiment,base44,6a21e871212139e49db2d1db,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,Name hints at construction; relationship to NoblePort unverified.
TaskFlow (Copy),duplicate,base44,68ab851e6057f714aa9068f2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,TaskFlow,Only a (Copy) exists; no original 'TaskFlow' in the workspace.
Echoes of Wisdom (Copy),duplicate,base44,68cdec8d440eb5b957e0874b,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,Echoes of Wisdom,Only a (Copy) exists; no original in the workspace.
untitled,experiment,base44,69ed15ff4946a46289900ba0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,Unnamed scratch build.
untitled,experiment,base44,69f24cb921f32c9cfaeb6457,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,Unnamed scratch build.
untitled,experiment,base44,68aba5aa37d8f6f619d8c69b,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,Unnamed scratch build.
Stephanie.ai,verified_exists,repo,backend/agents/stephanie.py,UNVERIFIED,gcagent/nobleport.etf,/api/ops-brief,Executive coordination layer (advisory only) in NP-OS.,UNVERIFIED,,Code present in repo; covered by backend test suite.,,Present as code here. Absent from the Base44 workspace by design.
GCagent.ai,verified_exists,repo,backend/agents/gcagent.py,UNVERIFIED,gcagent/nobleport.etf,/api/jobs,Project Operations layer — construction execution in NP-OS.,UNVERIFIED,,Code present in repo; covered by backend test suite.,,Present as code here. Absent from the Base44 workspace by design.
PermitStream.ai,verified_exists,repo,backend/agents/permit_stream.py,UNVERIFIED,gcagent/nobleport.etf,/api/projects,"Permit layer — permits, inspections, compliance in NP-OS.",UNVERIFIED,,Code present in repo; covered by backend test suite.,,Present as code here. Absent from the Base44 workspace by design.
NoblePort Payment Node,verified_exists,repo,backend/api/payments,UNVERIFIED,gcagent/nobleport.etf,/api/payments,Financial layer — only layer permitted to release payments (gated).,UNVERIFIED,,API surface present in repo; payment release is human-gated.,,Present as code here. Absent from the Base44 workspace by design.
Kuzo.io,named_absent,unknown,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,Named in discussion but NOT found in the Base44 workspace nor in this repo's code. Concept until a source is cited.
NobleWatch-pro,named_absent,unknown,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,Named in discussion but NOT found in the Base44 workspace nor in this repo's code. Concept until a source is cited.
